Child's First Name,Summation of Counts,Ethnicity
ASHER,24,ASIAN AND PACI
ASHER,118,WHITE NON HISP
ASHLEY,90,ASIAN AND PACI
ASHLEY,34,BLACK NON HISP
ASHLEY,318,HISPANIC
ASHLEY,58,WHITE NON HISP
ASHTON,32,BLACK NON HISP
ASHTON,20,HISPANIC
ATHENA,20,ASIAN AND PACI
ATHENA,34,HISPANIC
ATHENA,24,WHITE NON HISP
ATTICUS,20,WHITE NON HISP
AUBREE,28,BLACK NON HISP
AUBREY,54,BLACK NON HISP
AUBREY,52,HISPANIC
AUBREY,20,WHITE NON HISP
AUDREY,70,ASIAN AND PACI
AUDREY,76,WHITE NON HISP
AUGUST,62,WHITE NON HISP
AURORA,22,HISPANIC
AUSTIN,134,ASIAN AND PACI
AUSTIN,54,BLACK NON HISP
AUSTIN,32,HISPANIC
AUSTIN,38,WHITE NON HISP
AUTUMN,58,BLACK NON HISP
AVA,94,ASIAN AND PACI
AVA,96,BLACK NON HISP
AVA,152,HISPANIC
AVA,330,WHITE NON HISP
AVERY,42,ASIAN AND PACI
AVERY,40,BLACK NON HISP
AVERY,58,HISPANIC
AVERY,176,WHITE NON HISP
AVIGAIL,26,WHITE NON HISP
AVIVA,24,WHITE NON HISP
AVRAHAM,90,WHITE NON HISP
AVRIL,22,HISPANIC
AVROHOM,58,WHITE NON HISP
AVRUM,36,WHITE NON HISP
AWA,20,BLACK NON HISP
AXEL,104,HISPANIC
AYA,22,WHITE NON HISP
AYAAN,82,ASIAN AND PACI
AYAN,24,ASIAN AND PACI
AYANNA,26,BLACK NON HISP
AYDEN,38,ASIAN AND PACI
AYDEN,140,BLACK NON HISP
AYDEN,134,HISPANIC
AYDEN,38,WHITE NON HISP
AYESHA,38,ASIAN AND PACI
AYLA,36,WHITE NON HISP
AYLIN,40,HISPANIC
Aahil,28,ASIAN AND PACIFIC ISLANDER
Aaliyah,280,BLACK NON HISPANIC
Aaliyah,222,HISPANIC
Aarav,34,ASIAN AND PACIFIC ISLANDER
Aaron,258,ASIAN AND PACIFIC ISLANDER
Aaron,140,BLACK NON HISPANIC
Aaron,502,HISPANIC
Aaron,342,WHITE NON HISPANIC
Aarya,20,ASIAN AND PACIFIC ISLANDER
Aayan,46,ASIAN AND PACIFIC ISLANDER
Abby,84,ASIAN AND PACIFIC ISLANDER
Abdoul,22,BLACK NON HISPANIC
Abdoulaye,64,BLACK NON HISPANIC
Abdul,40,ASIAN AND PACIFIC ISLANDER
Abdullah,96,ASIAN AND PACIFIC ISLANDER
Abdullah,28,WHITE NON HISPANIC
Abel,88,HISPANIC
Abigail,130,ASIAN AND PACIFIC ISLANDER
Abigail,178,BLACK NON HISPANIC
Abigail,398,HISPANIC
Abigail,440,WHITE NON HISPANIC
Abraham,46,BLACK NON HISPANIC
Abraham,112,HISPANIC
Abraham,626,WHITE NON HISPANIC
Abrielle,22,BLACK NON HISPANIC
Abril,20,HISPANIC
Ada,20,ASIAN AND PACIFIC ISLANDER
Ada,46,WHITE NON HISPANIC
Adam,142,ASIAN AND PACIFIC ISLANDER
Adam,84,BLACK NON HISPANIC
Adam,208,HISPANIC
Adam,684,WHITE NON HISPANIC
Adan,40,HISPANIC
Addison,96,WHITE NON HISPANIC
Adelaide,62,WHITE NON HISPANIC
Adele,90,WHITE NON HISPANIC
Adelina,22,WHITE NON HISPANIC
Adeline,48,WHITE NON HISPANIC
Adelyn,20,HISPANIC
Aden,88,BLACK NON HISPANIC
Aden,22,HISPANIC
Adina,78,WHITE NON HISPANIC
Aditya,26,ASIAN AND PACIFIC ISLANDER
Adonis,44,BLACK NON HISPANIC
Adonis,70,HISPANIC
Adrian,98,ASIAN AND PACIFIC ISLANDER
Adrian,64,BLACK NON HISPANIC
Adrian,550,HISPANIC
Adrian,164,WHITE NON HISPANIC
Adriana,178,HISPANIC
Adriana,86,WHITE NON HISPANIC
Adrianna,46,BLACK NON HISPANIC
Adrianna,68,HISPANIC
Adrianna,42,WHITE NON HISPANIC
Adriel,120,HISPANIC
Adyan,60,ASIAN AND PACIFIC ISLANDER
Aharon,80,WHITE NON HISPANIC
Ahmad,50,WHITE NON HISPANIC
