Child's First Name,Ethnicity,Summation of Counts
Evan,WHITE NON HISPANIC,200
Evangeline,HISPANIC,22
Evangeline,WHITE NON HISPANIC,22
Eve,WHITE NON HISPANIC,76
Evelyn,ASIAN AND PACIFIC ISLANDER,124
Evelyn,HISPANIC,172
Evelyn,WHITE NON HISPANIC,240
Everett,WHITE NON HISPANIC,72
Everly,WHITE NON HISPANIC,28
Evie,WHITE NON HISPANIC,24
Ezekiel,BLACK NON HISPANIC,30
Ezekiel,HISPANIC,44
Ezequiel,HISPANIC,50
Ezra,BLACK NON HISPANIC,20
Ezra,HISPANIC,46
Ezra,WHITE NON HISPANIC,188
FABIAN,HISPANIC,34
FAIGA,WHITE NON HISP,58
FAIGY,WHITE NON HISP,140
FAITH,ASIAN AND PACI,20
FAITH,BLACK NON HISP,84
FAITH,HISPANIC,42
FAITH,WHITE NON HISP,20
FANTA,BLACK NON HISP,32
FATIMA,ASIAN AND PACI,66
FATIMA,BLACK NON HISP,58
FATIMA,HISPANIC,32
FATIMA,WHITE NON HISP,24
FATOUMATA,BLACK NON HISP,92
FELIX,ASIAN AND PACI,44
FELIX,HISPANIC,36
FELIX,WHITE NON HISP,42
FERNANDA,HISPANIC,20
FERNANDO,HISPANIC,58
FILIP,WHITE NON HISP,30
FINN,WHITE NON HISP,52
FIONA,ASIAN AND PACI,98
FIONA,WHITE NON HISP,58
FRADY,WHITE NON HISP,22
FRAIDY,WHITE NON HISP,36
FRANCES,WHITE NON HISP,26
FRANCESCA,WHITE NON HISP,66
FRANCESCO,WHITE NON HISP,24
FRANCISCO,HISPANIC,40
FRANK,HISPANIC,26
FRANK,WHITE NON HISP,66
FRANKLIN,HISPANIC,26
FREDDY,HISPANIC,24
FREDERICK,WHITE NON HISP,20
FRIMET,WHITE NON HISP,26
Fabian,HISPANIC,44
Faiga,WHITE NON HISPANIC,100
Faigy,WHITE NON HISPANIC,290
Faith,BLACK NON HISPANIC,170
Faith,HISPANIC,110
Fanta,BLACK NON HISPANIC,24
Farah,WHITE NON HISPANIC,22
Farhan,ASIAN AND PACIFIC ISLANDER,22
Fatima,ASIAN AND PACIFIC ISLANDER,98
Fatima,BLACK NON HISPANIC,108
Fatima,HISPANIC,22
Fatima,WHITE NON HISPANIC,42
Fatou,BLACK NON HISPANIC,20
Fatoumata,BLACK NON HISPANIC,182
Felipe,HISPANIC,24
Felix,ASIAN AND PACIFIC ISLANDER,112
Felix,HISPANIC,66
Felix,WHITE NON HISPANIC,108
Fernando,HISPANIC,126
Filip,WHITE NON HISPANIC,44
Finn,WHITE NON HISPANIC,98
Fiona,ASIAN AND PACIFIC ISLANDER,148
Fiona,WHITE NON HISPANIC,174
Fradel,WHITE NON HISPANIC,48
Frady,WHITE NON HISPANIC,28
Fraidy,WHITE NON HISPANIC,122
Frances,WHITE NON HISPANIC,68
Francesca,HISPANIC,24
Francesca,WHITE NON HISPANIC,132
Francesco,WHITE NON HISPANIC,54
Francis,WHITE NON HISPANIC,52
Francisco,HISPANIC,126
Frank,ASIAN AND PACIFIC ISLANDER,20
Frank,HISPANIC,48
Frank,WHITE NON HISPANIC,58
Frederick,WHITE NON HISPANIC,56
Freya,WHITE NON HISPANIC,20
Frimet,WHITE NON HISPANIC,50
GABRIEL,ASIAN AND PACI,54
GABRIEL,BLACK NON HISP,74
GABRIEL,HISPANIC,264
GABRIEL,WHITE NON HISP,212
GABRIELA,HISPANIC,128
GABRIELA,WHITE NON HISP,20
GABRIELLA,ASIAN AND PACI,30
GABRIELLA,BLACK NON HISP,50
GABRIELLA,HISPANIC,158
GABRIELLA,WHITE NON HISP,172
GABRIELLE,BLACK NON HISP,84
GABRIELLE,WHITE NON HISP,34
GAEL,HISPANIC,136
GAVIN,ASIAN AND PACI,50
GAVIN,BLACK NON HISP,38
GAVIN,HISPANIC,48
GAVIN,WHITE NON HISP,96
GAVRIEL,WHITE NON HISP,40
GEMMA,WHITE NON HISP,44
GENESIS,BLACK NON HISP,42
GENESIS,HISPANIC,234
GENEVIEVE,WHITE NON HISP,36
GEORGE,HISPANIC,38
GEORGE,WHITE NON HISP,150
GEORGIA,WHITE NON HISP,32
GERALDINE,HISPANIC,22
GIA,HISPANIC,24
GIA,WHITE NON HISP,72
GIADA,WHITE NON HISP,26
GIANNA,BLACK NON HISP,34
GIANNA,HISPANIC,96
GIANNA,WHITE NON HISP,96
GIOVANNI,BLACK NON HISP,24
GIOVANNI,HISPANIC,80
GIOVANNI,WHITE NON HISP,42
GISELLE,HISPANIC,80
GITTEL,WHITE NON HISP,42
GITTY,WHITE NON HISP,138
GIULIA,WHITE NON HISP,24
GIULIANA,WHITE NON HISP,84
GOLDA,WHITE NON HISP,26
GOLDY,WHITE NON HISP,50
GORDON,ASIAN AND PACI,24
GRACE,ASIAN AND PACI,102
GRACE,BLACK NON HISP,40
GRACE,HISPANIC,60
GRACE,WHITE NON HISP,158
GRAHAM,WHITE NON HISP,42
GRANT,WHITE NON HISP,30
GRAYSON,WHITE NON HISP,48
GREGORY,HISPANIC,28
GREGORY,WHITE NON HISP,26
GRETA,WHITE NON HISP,26
GRIFFIN,WHITE NON HISP,38
GUADALUPE,HISPANIC,68
GUSTAVO,HISPANIC,30
Gabriel,ASIAN AND PACIFIC ISLANDER,68
Gabriel,BLACK NON HISPANIC,172
Gabriel,HISPANIC,542
Gabriel,WHITE NON HISPANIC,442
Gabriela,HISPANIC,188
Gabriela,WHITE NON HISPANIC,60
Gabriella,ASIAN AND PACIFIC ISLANDER,36
Gabriella,BLACK NON HISPANIC,118
Gabriella,HISPANIC,316
Gabriella,WHITE NON HISPANIC,332
Gabrielle,BLACK NON HISPANIC,140
Gabrielle,WHITE NON HISPANIC,66
Gael,HISPANIC,198
Gary,ASIAN AND PACIFIC ISLANDER,20
Gavin,ASIAN AND PACIFIC ISLANDER,88
Gavin,BLACK NON HISPANIC,50
Gavin,HISPANIC,90
Gavin,WHITE NON HISPANIC,208
Gavriel,WHITE NON HISPANIC,66
Gemma,WHITE NON HISPANIC,70
Genesis,BLACK NON HISPANIC,74
Genesis,HISPANIC,404
Genevieve,WHITE NON HISPANIC,74
George,ASIAN AND PACIFIC ISLANDER,58
George,HISPANIC,64
George,WHITE NON HISPANIC,240
Georgia,WHITE NON HISPANIC,98
Gerard,HISPANIC,20
Gerardo,HISPANIC,22
Gia,ASIAN AND PACIFIC ISLANDER,22
Gia,HISPANIC,60
Gia,WHITE NON HISPANIC,76
Giancarlo,WHITE NON HISPANIC,20
Gianluca,WHITE NON HISPANIC,26
Gianna,BLACK NON HISPANIC,60
Gianna,HISPANIC,174
Gianna,WHITE NON HISPANIC,190
Giovani,HISPANIC,22
Giovanna,WHITE NON HISPANIC,26
Giovanni,BLACK NON HISPANIC,78
Giovanni,HISPANIC,160
Giovanni,WHITE NON HISPANIC,128
Giovanny,HISPANIC,24
Giselle,BLACK NON HISPANIC,22
Giselle,HISPANIC,112
Giselle,WHITE NON HISPANIC,46
Gittel,WHITE NON HISPANIC,26
Gitty,WHITE NON HISPANIC,284
Giuliana,WHITE NON HISPANIC,116
Giuseppe,WHITE NON HISPANIC,20
Golda,WHITE NON HISPANIC,60
Goldie,WHITE NON HISPANIC,22
Goldy,WHITE NON HISPANIC,98
Gordon,ASIAN AND PACIFIC ISLANDER,46
Grace,ASIAN AND PACIFIC ISLANDER,230
Grace,BLACK NON HISPANIC,104
Grace,HISPANIC,154
Grace,WHITE NON HISPANIC,302
Graham,WHITE NON HISPANIC,94
Grant,WHITE NON HISPANIC,52
Grayson,ASIAN AND PACIFIC ISLANDER,24
Grayson,HISPANIC,40
Grayson,WHITE NON HISPANIC,106
Gregory,BLACK NON HISPANIC,20
Gregory,HISPANIC,42
Gregory,WHITE NON HISPANIC,66
Greyson,BLACK NON HISPANIC,22
Greyson,WHITE NON HISPANIC,50
Griffin,WHITE NON HISPANIC,64
Guadalupe,HISPANIC,110
Gustavo,HISPANIC,28
HADASSAH,WHITE NON HISP,20
HADLEY,WHITE NON HISP,26
HAFSA,ASIAN AND PACI,22
HAILEY,ASIAN AND PACI,100
HAILEY,BLACK NON HISP,56
HAILEY,HISPANIC,190
HAILEY,WHITE NON HISP,72
HALEY,HISPANIC,34
HAMZA,ASIAN AND PACI,22
HAMZA,WHITE NON HISP,28
HANA,WHITE NON HISP,26
HANNA,WHITE NON HISP,46
HANNAH,ASIAN AND PACI,92
HANNAH,BLACK NON HISP,44
HANNAH,HISPANIC,60
HANNAH,WHITE NON HISP,166
HAO,ASIAN AND PACI,22
HAREEM,ASIAN AND PACI,22
HARMONY,BLACK NON HISP,44
HARPER,WHITE NON HISP,86
HARRISON,ASIAN AND PACI,26
HARRISON,WHITE NON HISP,60
HARRY,WHITE NON HISP,26
HARVEY,WHITE NON HISP,20
HAWA,BLACK NON HISP,26
HAYDEN,ASIAN AND PACI,22
HAYDEN,WHITE NON HISP,20
HAYLEE,HISPANIC,20
HAZEL,ASIAN AND PACI,20
HAZEL,HISPANIC,30
HAZEL,WHITE NON HISP,32
HEAVEN,BLACK NON HISP,50
HEAVEN,HISPANIC,34
HECTOR,HISPANIC,56
HEIDI,HISPANIC,20
HEIDY,HISPANIC,26
HELEN,ASIAN AND PACI,24
HELEN,HISPANIC,26
HELEN,WHITE NON HISP,28
HELENA,WHITE NON HISP,30
HENNY,WHITE NON HISP,28
HENRY,ASIAN AND PACI,66
HENRY,HISPANIC,72
HENRY,WHITE NON HISP,324
HERSH,WHITE NON HISP,28
HERSHEL,WHITE NON HISP,42
HERSHY,WHITE NON HISP,50
HINDA,WHITE NON HISP,30
HINDY,WHITE NON HISP,80
HUDSON,ASIAN AND PACI,24
HUDSON,WHITE NON HISP,120
HUGO,HISPANIC,28
HUGO,WHITE NON HISP,30
HUNTER,ASIAN AND PACI,34
HUNTER,BLACK NON HISP,42
HUNTER,HISPANIC,24
HUNTER,WHITE NON HISP,62
Hadassah,WHITE NON HISPANIC,52
Hadley,WHITE NON HISPANIC,66
Hafsa,ASIAN AND PACIFIC ISLANDER,24
Hailey,ASIAN AND PACIFIC ISLANDER,116
Hailey,BLACK NON HISPANIC,106
Hailey,HISPANIC,372
Hailey,WHITE NON HISPANIC,90
Hailie,HISPANIC,20
Haley,HISPANIC,22
Hamza,WHITE NON HISPANIC,70
Hana,ASIAN AND PACIFIC ISLANDER,46
Hana,WHITE NON HISPANIC,62
Hanley,HISPANIC,20
Hanna,ASIAN AND PACIFIC ISLANDER,30
Hanna,WHITE NON HISPANIC,76
Hannah,ASIAN AND PACIFIC ISLANDER,156
Hannah,BLACK NON HISPANIC,76
Hannah,HISPANIC,104
Hannah,WHITE NON HISPANIC,332
Harlow,WHITE NON HISPANIC,22
Harmony,BLACK NON HISPANIC,66
Harper,WHITE NON HISPANIC,178
Harrison,ASIAN AND PACIFIC ISLANDER,68
Harrison,WHITE NON HISPANIC,178
Harry,ASIAN AND PACIFIC ISLANDER,22
Harry,WHITE NON HISPANIC,58
Hassan,ASIAN AND PACIFIC ISLANDER,20
Hawa,BLACK NON HISPANIC,66
Hayden,ASIAN AND PACIFIC ISLANDER,66
Hayden,BLACK NON HISPANIC,32
Hayden,WHITE NON HISPANIC,20
Haylee,HISPANIC,70
Hazel,HISPANIC,24
Hazel,WHITE NON HISPANIC,88
Heaven,BLACK NON HISPANIC,94
Heaven,HISPANIC,50
Hector,HISPANIC,86
Heidi,HISPANIC,54
Heidy,HISPANIC,26
Helen,ASIAN AND PACIFIC ISLANDER,26
Helen,HISPANIC,64
Helen,WHITE NON HISPANIC,34
Helena,WHITE NON HISPANIC,70
Henchy,WHITE NON HISPANIC,40
Henny,WHITE NON HISPANIC,88
Henry,ASIAN AND PACIFIC ISLANDER,126
Henry,HISPANIC,126
Henry,WHITE NON HISPANIC,674
Hersh,WHITE NON HISPANIC,74
Hershel,WHITE NON HISPANIC,82
Hershy,WHITE NON HISPANIC,102
Hillel,WHITE NON HISPANIC,46
Hinda,WHITE NON HISPANIC,40
Hindy,WHITE NON HISPANIC,150
Hope,BLACK NON HISPANIC,22
Hudson,ASIAN AND PACIFIC ISLANDER,64
Hudson,HISPANIC,28
Hudson,WHITE NON HISPANIC,226
Hugo,WHITE NON HISPANIC,86
Hunter,ASIAN AND PACIFIC ISLANDER,68
Hunter,BLACK NON HISPANIC,106
Hunter,HISPANIC,102
Hunter,WHITE NON HISPANIC,170
IAN,ASIAN AND PACI,86
IAN,BLACK NON HISP,48
IAN,HISPANIC,166
IAN,WHITE NON HISP,62
IBRAHIM,ASIAN AND PACI,58
IBRAHIM,BLACK NON HISP,56
IBRAHIM,WHITE NON HISP,36
IBRAHIMA,BLACK NON HISP,34
IDY,WHITE NON HISP,30
IKER,HISPANIC,58
ILAN,WHITE NON HISP,34
IMANI,BLACK NON HISP,68
INES,WHITE NON HISP,20
IRENE,ASIAN AND PACI,46
IRIS,ASIAN AND PACI,42
IRIS,WHITE NON HISP,30
ISAAC,ASIAN AND PACI,50
ISAAC,BLACK NON HISP,34
ISAAC,HISPANIC,188
ISAAC,WHITE NON HISP,232
ISABEL,HISPANIC,80
ISABEL,WHITE NON HISP,48
ISABELA,HISPANIC,26
ISABELLA,ASIAN AND PACI,128
ISABELLA,BLACK NON HISP,86
ISABELLA,HISPANIC,654
ISABELLA,WHITE NON HISP,246
ISABELLE,ASIAN AND PACI,34
ISABELLE,WHITE NON HISP,42
ISAIAH,BLACK NON HISP,190
ISAIAH,HISPANIC,158
ISAIAH,WHITE NON HISP,20
ISLA,WHITE NON HISP,44
ISMAEL,HISPANIC,58
ISRAEL,BLACK NON HISP,22
ISRAEL,HISPANIC,40
ISRAEL,WHITE NON HISP,60
ISSAC,WHITE NON HISP,20
ITZEL,HISPANIC,44
IVAN,ASIAN AND PACI,136
IVAN,HISPANIC,84
IVAN,WHITE NON HISP,32
IVANNA,HISPANIC,24
IVY,ASIAN AND PACI,70
IVY,WHITE NON HISP,34
IZABELLA,HISPANIC,46
IZAIAH,HISPANIC,22
Ian,ASIAN AND PACIFIC ISLANDER,144
Ian,BLACK NON HISPANIC,44
Ian,HISPANIC,406
Ian,WHITE NON HISPANIC,120
Ibrahim,ASIAN AND PACIFIC ISLANDER,98
Ibrahim,BLACK NON HISPANIC,112
Ibrahim,WHITE NON HISPANIC,76
Ibrahima,BLACK NON HISPANIC,58
Idy,WHITE NON HISPANIC,26
Iker,HISPANIC,170
Ilan,WHITE NON HISPANIC,24
Ilana,WHITE NON HISPANIC,24
Imani,BLACK NON HISPANIC,92
Imran,WHITE NON HISPANIC,20
Inaaya,ASIAN AND PACIFIC ISLANDER,48
Inaya,ASIAN AND PACIFIC ISLANDER,22
Irene,ASIAN AND PACIFIC ISLANDER,74
Iris,ASIAN AND PACIFIC ISLANDER,96
Iris,HISPANIC,24
Iris,WHITE NON HISPANIC,60
Isaac,ASIAN AND PACIFIC ISLANDER,116
Isaac,BLACK NON HISPANIC,110
Isaac,HISPANIC,352
Isaac,WHITE NON HISPANIC,496
Isabel,ASIAN AND PACIFIC ISLANDER,52
Isabel,HISPANIC,158
Isabel,WHITE NON HISPANIC,114
Isabela,HISPANIC,20
Isabella,ASIAN AND PACIFIC ISLANDER,258
Isabella,BLACK NON HISPANIC,188
Isabella,HISPANIC,1314
Isabella,WHITE NON HISPANIC,520
Isabelle,ASIAN AND PACIFIC ISLANDER,76
Isabelle,BLACK NON HISPANIC,66
Isabelle,HISPANIC,86
Isabelle,WHITE NON HISPANIC,94
Isaiah,ASIAN AND PACIFIC ISLANDER,24
Isaiah,BLACK NON HISPANIC,250
Isaiah,HISPANIC,220
Isaiah,WHITE NON HISPANIC,22
Isaias,HISPANIC,26
Ishaan,ASIAN AND PACIFIC ISLANDER,22
Isiah,BLACK NON HISPANIC,22
Isis,BLACK NON HISPANIC,22
Isis,HISPANIC,26
Isla,WHITE NON HISPANIC,118
Ismael,BLACK NON HISPANIC,22
Ismael,HISPANIC,102
Israel,BLACK NON HISPANIC,34
Israel,HISPANIC,72
Israel,WHITE NON HISPANIC,138
Issac,WHITE NON HISPANIC,20
Itzel,HISPANIC,78
Ivan,ASIAN AND PACIFIC ISLANDER,176
Ivan,HISPANIC,176
Ivan,WHITE NON HISPANIC,62
Ivanna,HISPANIC,22
Ivy,ASIAN AND PACIFIC ISLANDER,128
Ivy,WHITE NON HISPANIC,72
Izabella,HISPANIC,62
JACE,BLACK NON HISP,40
JACE,HISPANIC,70
JACE,WHITE NON HISP,20
JACK,ASIAN AND PACI,52
JACK,HISPANIC,56
JACK,WHITE NON HISP,360
JACKSON,ASIAN AND PACI,34
JACKSON,HISPANIC,34
JACKSON,WHITE NON HISP,170
JACKY,ASIAN AND PACI,28
JACOB,ASIAN AND PACI,96
JACOB,BLACK NON HISP,116
JACOB,HISPANIC,586
JACOB,WHITE NON HISP,484
JACQUELINE,HISPANIC,60
JACQUELINE,WHITE NON HISP,52
JAD,WHITE NON HISP,20
JADA,BLACK NON HISP,56
JADA,HISPANIC,26
JADE,BLACK NON HISP,64
JADE,HISPANIC,114
JADE,WHITE NON HISP,22
JADEN,ASIAN AND PACI,84
JADEN,BLACK NON HISP,100
JADEN,HISPANIC,58
JADIEL,HISPANIC,98
JAEL,HISPANIC,44
JAELYN,HISPANIC,20
JAHMIR,BLACK NON HISP,24
JAIDEN,BLACK NON HISP,58
JAIDEN,HISPANIC,40
JAIME,HISPANIC,34
JAKE,ASIAN AND PACI,38
JAKE,HISPANIC,76
JAKE,WHITE NON HISP,116
JALEN,BLACK NON HISP,34
JALIYAH,BLACK NON HISP,32
JAMARI,BLACK NON HISP,32
JAMES,ASIAN AND PACI,86
JAMES,BLACK NON HISP,68
JAMES,HISPANIC,146
JAMES,WHITE NON HISP,374
JAMIE,HISPANIC,34
JANA,WHITE NON HISP,32
JANE,WHITE NON HISP,40
JANELLE,BLACK NON HISP,34
JANICE,ASIAN AND PACI,28
JANIYAH,BLACK NON HISP,30
JANNAT,ASIAN AND PACI,36
JARED,HISPANIC,38
JARIEL,HISPANIC,44
JASIAH,BLACK NON HISP,32
JASMIN,HISPANIC,20
JASMINE,ASIAN AND PACI,52
JASMINE,BLACK NON HISP,54
JASMINE,HISPANIC,60
JASMINE,WHITE NON HISP,20
JASON,ASIAN AND PACI,202
JASON,BLACK NON HISP,110
JASON,HISPANIC,182
JASON,WHITE NON HISP,72
JASPER,ASIAN AND PACI,28
JASPER,WHITE NON HISP,54
JAVIER,HISPANIC,62
JAXON,WHITE NON HISP,24
JAY,ASIAN AND PACI,36
JAY,HISPANIC,30
JAYCE,HISPANIC,42
JAYDA,BLACK NON HISP,24
JAYDEN,ASIAN AND PACI,374
JAYDEN,BLACK NON HISP,342
JAYDEN,HISPANIC,728
JAYDEN,WHITE NON HISP,60
JAYLA,BLACK NON HISP,50
JAYLA,HISPANIC,48
JAYLAH,HISPANIC,36
JAYLEEN,HISPANIC,72
JAYLEN,BLACK NON HISP,58
JAYLEN,HISPANIC,20
JAYLENE,HISPANIC,48
JAYLIN,HISPANIC,30
JAYREN,HISPANIC,20
JAYSON,HISPANIC,56
JAZLYN,HISPANIC,44
JAZMIN,HISPANIC,30
JAZMINE,HISPANIC,30
JAZZLYN,HISPANIC,20
JEAN,HISPANIC,66
JEFFERSON,HISPANIC,26
JEFFREY,ASIAN AND PACI,58
JEFFREY,HISPANIC,64
JENCARLOS,HISPANIC,20
JENNA,WHITE NON HISP,34
JENNIFER,ASIAN AND PACI,46
JENNIFER,HISPANIC,120
JENNIFER,WHITE NON HISP,26
JENNY,ASIAN AND PACI,52
JEREMIAH,BLACK NON HISP,282
JEREMIAH,HISPANIC,236
JEREMY,ASIAN AND PACI,120
JEREMY,BLACK NON HISP,32
JEREMY,HISPANIC,234
JEREMY,WHITE NON HISP,36
JERMAINE,BLACK NON HISP,28
JERRY,ASIAN AND PACI,64
JESSE,WHITE NON HISP,38
JESSICA,ASIAN AND PACI,80
JESSICA,BLACK NON HISP,22
JESSICA,HISPANIC,54
JESSICA,WHITE NON HISP,34
JESUS,HISPANIC,158
JIMENA,HISPANIC,26
JIMMY,ASIAN AND PACI,20
JOANNA,ASIAN AND PACI,74
JOANNA,WHITE NON HISP,22
JOAQUIN,HISPANIC,30
JOCELYN,ASIAN AND PACI,38
JOCELYN,HISPANIC,78
JOEL,BLACK NON HISP,52
JOEL,HISPANIC,130
JOEL,WHITE NON HISP,56
JOHAN,HISPANIC,72
JOHANNA,HISPANIC,32
JOHN,ASIAN AND PACI,52
JOHN,BLACK NON HISP,34
JOHN,HISPANIC,148
JOHN,WHITE NON HISP,328
JOHNNY,ASIAN AND PACI,28
JOHNNY,HISPANIC,48
JOLIE,WHITE NON HISP,22
JOLIN,ASIAN AND PACI,20
JONAH,BLACK NON HISP,26
JONAH,HISPANIC,34
JONAH,WHITE NON HISP,120
JONAS,HISPANIC,20
JONATHAN,ASIAN AND PACI,104
JONATHAN,BLACK NON HISP,100
JONATHAN,HISPANIC,318
JONATHAN,WHITE NON HISP,146
JORDAN,ASIAN AND PACI,32
JORDAN,BLACK NON HISP,140
JORDAN,HISPANIC,114
JORDAN,WHITE NON HISP,74
JORDYN,BLACK NON HISP,38
JORGE,HISPANIC,74
JOSE,HISPANIC,278
JOSELYN,HISPANIC,46
JOSEPH,ASIAN AND PACI,58
JOSEPH,BLACK NON HISP,104
JOSEPH,HISPANIC,300
JOSEPH,WHITE NON HISP,600
JOSEPHINE,WHITE NON HISP,68
JOSHUA,ASIAN AND PACI,90
JOSHUA,BLACK NON HISP,248
JOSHUA,HISPANIC,354
JOSHUA,WHITE NON HISP,158
JOSIAH,BLACK NON HISP,206
JOSIAH,HISPANIC,114
JOSUE,HISPANIC,92
JOY,ASIAN AND PACI,28
JOYCE,ASIAN AND PACI,56
JOYCE,WHITE NON HISP,20
JUAN,HISPANIC,192
JUDAH,BLACK NON HISP,32
JUDAH,WHITE NON HISP,42
JUDE,WHITE NON HISP,44
JUDY,ASIAN AND PACI,20
JUDY,WHITE NON HISP,26
JULIA,ASIAN AND PACI,20
JULIA,HISPANIC,40
JULIA,WHITE NON HISP,182
JULIAN,ASIAN AND PACI,42
JULIAN,BLACK NON HISP,52
JULIAN,HISPANIC,216
JULIAN,WHITE NON HISP,140
JULIANA,HISPANIC,28
JULIANA,WHITE NON HISP,64
JULIANNA,HISPANIC,28
JULIANNA,WHITE NON HISP,34
JULIE,HISPANIC,20
JULIE,WHITE NON HISP,34
JULIEN,HISPANIC,30
JULIEN,WHITE NON HISP,20
JULIET,HISPANIC,44
JULIET,WHITE NON HISP,76
JULIETTE,HISPANIC,40
JULIETTE,WHITE NON HISP,50
JULIO,HISPANIC,54
JULISSA,HISPANIC,32
JULIUS,HISPANIC,52
JUN,ASIAN AND PACI,20
JUNE,WHITE NON HISP,24
JUSTICE,BLACK NON HISP,30
JUSTIN,ASIAN AND PACI,250
JUSTIN,BLACK NON HISP,148
JUSTIN,HISPANIC,430
JUSTIN,WHITE NON HISP,96
Jace,BLACK NON HISPANIC,158
Jace,HISPANIC,224
Jace,WHITE NON HISPANIC,46
Jack,ASIAN AND PACIFIC ISLANDER,84
Jack,HISPANIC,114
Jack,WHITE NON HISPANIC,822
Jackson,ASIAN AND PACIFIC ISLANDER,34
Jackson,HISPANIC,76
Jackson,WHITE NON HISPANIC,366
Jacob,ASIAN AND PACIFIC ISLANDER,228
Jacob,BLACK NON HISPANIC,294
Jacob,HISPANIC,1178
Jacob,WHITE NON HISPANIC,946
Jacqueline,HISPANIC,76
Jacqueline,WHITE NON HISPANIC,64
Jada,BLACK NON HISPANIC,98
Jade,BLACK NON HISPANIC,100
Jade,HISPANIC,170
Jaden,ASIAN AND PACIFIC ISLANDER,138
Jaden,BLACK NON HISPANIC,144
Jaden,HISPANIC,208
Jadiel,HISPANIC,164
Jael,HISPANIC,72
Jahir,HISPANIC,20
Jaiden,BLACK NON HISPANIC,80
Jaiden,HISPANIC,68
Jair,HISPANIC,20
Jake,ASIAN AND PACIFIC ISLANDER,60
Jake,HISPANIC,154
Jake,WHITE NON HISPANIC,202
Jakub,WHITE NON HISPANIC,22
Jalen,BLACK NON HISPANIC,50
Jaliyah,BLACK NON HISPANIC,26
Jaliyah,HISPANIC,20
Jamal,BLACK NON HISPANIC,24
Jamar,BLACK NON HISPANIC,24
Jamari,BLACK NON HISPANIC,20
Jamel,BLACK NON HISPANIC,22
James,ASIAN AND PACIFIC ISLANDER,200
James,BLACK NON HISPANIC,146
James,HISPANIC,356
James,WHITE NON HISPANIC,836
Jamie,ASIAN AND PACIFIC ISLANDER,22
Jana,WHITE NON HISPANIC,52
Janae,BLACK NON HISPANIC,22
Jane,WHITE NON HISPANIC,104
Janelle,BLACK NON HISPANIC,46
Janelle,HISPANIC,26
Janice,ASIAN AND PACIFIC ISLANDER,24
Janiyah,BLACK NON HISPANIC,28
Jannat,ASIAN AND PACIFIC ISLANDER,48
Januel,HISPANIC,20
Jared,HISPANIC,100
Jariel,HISPANIC,90
Jasiah,BLACK NON HISPANIC,54
Jasmina,WHITE NON HISPANIC,42
Jasmine,ASIAN AND PACIFIC ISLANDER,110
Jasmine,BLACK NON HISPANIC,116
Jasmine,HISPANIC,132
Jasmine,WHITE NON HISPANIC,64
Jason,ASIAN AND PACIFIC ISLANDER,318
Jason,BLACK NON HISPANIC,138
Jason,HISPANIC,282
Jason,WHITE NON HISPANIC,172
Jasper,ASIAN AND PACIFIC ISLANDER,66
Jasper,WHITE NON HISPANIC,86
Javier,HISPANIC,156
Jax,WHITE NON HISPANIC,48
Jaxon,BLACK NON HISPANIC,24
Jaxon,HISPANIC,68
Jaxon,WHITE NON HISPANIC,72
Jaxson,HISPANIC,22
Jaxson,WHITE NON HISPANIC,26
Jay,HISPANIC,62
Jayce,BLACK NON HISPANIC,92
Jayce,HISPANIC,116
Jayceon,BLACK NON HISPANIC,108
Jayceon,HISPANIC,26
Jaycob,HISPANIC,28
Jayda,BLACK NON HISPANIC,26
Jayda,HISPANIC,20
Jayden,ASIAN AND PACIFIC ISLANDER,814
Jayden,BLACK NON HISPANIC,518
Jayden,HISPANIC,1236
Jayden,WHITE NON HISPANIC,134
Jayla,BLACK NON HISPANIC,124
Jayla,HISPANIC,86
Jaylah,HISPANIC,78
Jaylee,HISPANIC,24
Jayleen,HISPANIC,120
Jaylen,BLACK NON HISPANIC,88
Jaylene,HISPANIC,62
Jaylin,BLACK NON HISPANIC,20
Jaylin,HISPANIC,66
Jayson,BLACK NON HISPANIC,22
Jayson,HISPANIC,68
Jazlyn,HISPANIC,84
Jazmin,HISPANIC,118
Jazmine,HISPANIC,26
Jean,HISPANIC,72
Jefferson,HISPANIC,60
Jeffrey,ASIAN AND PACIFIC ISLANDER,58
Jeffrey,HISPANIC,98
Jenna,ASIAN AND PACIFIC ISLANDER,28
Jenna,WHITE NON HISPANIC,86
Jennifer,ASIAN AND PACIFIC ISLANDER,66
Jennifer,HISPANIC,142
Jenny,ASIAN AND PACIFIC ISLANDER,84
Jeremiah,BLACK NON HISPANIC,456
Jeremiah,HISPANIC,384
Jeremias,HISPANIC,24
Jeremy,ASIAN AND PACIFIC ISLANDER,102
Jeremy,BLACK NON HISPANIC,60
Jeremy,HISPANIC,466
Jeremy,WHITE NON HISPANIC,48
Jerry,ASIAN AND PACIFIC ISLANDER,66
Jesse,WHITE NON HISPANIC,76
Jessica,ASIAN AND PACIFIC ISLANDER,116
Jessica,BLACK NON HISPANIC,20
Jessica,HISPANIC,90
Jessica,WHITE NON HISPANIC,62
Jessie,ASIAN AND PACIFIC ISLANDER,56
Jessie,HISPANIC,22
Jesus,HISPANIC,262
Jimena,HISPANIC,56
Jimmy,ASIAN AND PACIFIC ISLANDER,62
Jimmy,HISPANIC,22
Joanna,ASIAN AND PACIFIC ISLANDER,128
