Child's First Name,Ethnicity,Summation of Counts
Ahmad,WHITE NON HISPANIC,50
Ahmed,ASIAN AND PACIFIC ISLANDER,60
Ahmed,BLACK NON HISPANIC,20
Ahmed,WHITE NON HISPANIC,122
Ahnaf,ASIAN AND PACIFIC ISLANDER,44
Ahuva,WHITE NON HISPANIC,80
Aicha,BLACK NON HISPANIC,72
Aidan,ASIAN AND PACIFIC ISLANDER,108
Aidan,BLACK NON HISPANIC,62
Aidan,HISPANIC,112
Aidan,WHITE NON HISPANIC,130
Aiden,ASIAN AND PACIFIC ISLANDER,496
Aiden,BLACK NON HISPANIC,508
Aiden,HISPANIC,694
Aiden,WHITE NON HISPANIC,290
Aileen,HISPANIC,72
Aimee,HISPANIC,26
Aisha,ASIAN AND PACIFIC ISLANDER,72
Aisha,BLACK NON HISPANIC,72
Aisha,WHITE NON HISPANIC,48
Aissata,BLACK NON HISPANIC,20
Aissatou,BLACK NON HISPANIC,54
Aiza,ASIAN AND PACIFIC ISLANDER,38
Akiva,WHITE NON HISPANIC,104
Alan,ASIAN AND PACIFIC ISLANDER,104
Alan,HISPANIC,250
Alan,WHITE NON HISPANIC,74
Alana,BLACK NON HISPANIC,64
Alana,HISPANIC,68
Alani,HISPANIC,24
Alanis,HISPANIC,74
Alanna,HISPANIC,24
Albert,ASIAN AND PACIFIC ISLANDER,84
Albert,HISPANIC,70
Albert,WHITE NON HISPANIC,34
Alberto,HISPANIC,52
Alec,WHITE NON HISPANIC,22
Aleena,ASIAN AND PACIFIC ISLANDER,86
Alejandra,HISPANIC,60
Alejandro,HISPANIC,252
Aleksandra,WHITE NON HISPANIC,22
Alessandra,HISPANIC,48
Alessandra,WHITE NON HISPANIC,64
Alessia,WHITE NON HISPANIC,64
Alex,ASIAN AND PACIFIC ISLANDER,180
Alex,BLACK NON HISPANIC,32
Alex,HISPANIC,236
Alex,WHITE NON HISPANIC,124
Alexa,HISPANIC,256
Alexa,WHITE NON HISPANIC,180
Alexander,ASIAN AND PACIFIC ISLANDER,220
Alexander,BLACK NON HISPANIC,166
Alexander,HISPANIC,876
Alexander,WHITE NON HISPANIC,862
Alexandra,ASIAN AND PACIFIC ISLANDER,44
Alexandra,BLACK NON HISPANIC,22
Alexandra,HISPANIC,122
Alexandra,WHITE NON HISPANIC,364
Alexandria,BLACK NON HISPANIC,20
Alexia,HISPANIC,74
Alexia,WHITE NON HISPANIC,20
Alexis,BLACK NON HISPANIC,50
Alexis,HISPANIC,190
Alexis,WHITE NON HISPANIC,96
Alfred,ASIAN AND PACIFIC ISLANDER,36
Alfredo,HISPANIC,24
Ali,ASIAN AND PACIFIC ISLANDER,86
Ali,BLACK NON HISPANIC,20
Ali,WHITE NON HISPANIC,182
Alice,ASIAN AND PACIFIC ISLANDER,118
Alice,HISPANIC,62
Alice,WHITE NON HISPANIC,222
Alicia,ASIAN AND PACIFIC ISLANDER,24
Alicia,HISPANIC,66
Alina,ASIAN AND PACIFIC ISLANDER,146
Alina,HISPANIC,98
Alina,WHITE NON HISPANIC,68
Alisa,ASIAN AND PACIFIC ISLANDER,22
Alisa,WHITE NON HISPANIC,48
Alisha,ASIAN AND PACIFIC ISLANDER,22
Alison,HISPANIC,78
Alissa,HISPANIC,20
Alisson,HISPANIC,22
Aliyah,BLACK NON HISPANIC,74
Aliyah,HISPANIC,72
Aliza,WHITE NON HISPANIC,70
Allan,HISPANIC,48
Allen,ASIAN AND PACIFIC ISLANDER,100
Allen,HISPANIC,24
Allison,ASIAN AND PACIFIC ISLANDER,54
Allison,HISPANIC,410
Allison,WHITE NON HISPANIC,52
Allyson,HISPANIC,68
Alma,HISPANIC,46
Alma,WHITE NON HISPANIC,42
Alondra,HISPANIC,58
Alonso,HISPANIC,20
Alpha,BLACK NON HISPANIC,54
Alston,ASIAN AND PACIFIC ISLANDER,26
Alvin,ASIAN AND PACIFIC ISLANDER,140
Alyssa,ASIAN AND PACIFIC ISLANDER,98
Alyssa,BLACK NON HISPANIC,118
Alyssa,HISPANIC,142
Alyssa,WHITE NON HISPANIC,110
Amadou,BLACK NON HISPANIC,62
Amalia,HISPANIC,30
Amalia,WHITE NON HISPANIC,24
Amanda,ASIAN AND PACIFIC ISLANDER,52
Amanda,HISPANIC,134
Amanda,WHITE NON HISPANIC,46
Amani,BLACK NON HISPANIC,20
Amar'e,BLACK NON HISPANIC,24
Amara,BLACK NON HISPANIC,24
Amare,BLACK NON HISPANIC,50
Amari,BLACK NON HISPANIC,126
Amaya,BLACK NON HISPANIC,110
Amaya,HISPANIC,114
Amber,ASIAN AND PACIFIC ISLANDER,78
Amber,BLACK NON HISPANIC,32
Amber,HISPANIC,98
Amelia,ASIAN AND PACIFIC ISLANDER,118
Amelia,BLACK NON HISPANIC,100
Amelia,HISPANIC,186
Amelia,WHITE NON HISPANIC,274
Amelie,WHITE NON HISPANIC,50
Amia,BLACK NON HISPANIC,20
Amina,ASIAN AND PACIFIC ISLANDER,20
Amina,BLACK NON HISPANIC,90
Amina,WHITE NON HISPANIC,84
Aminata,BLACK NON HISPANIC,118
Amir,BLACK NON HISPANIC,406
Amir,HISPANIC,86
Amir,WHITE NON HISPANIC,116
Amira,BLACK NON HISPANIC,58
Amira,WHITE NON HISPANIC,72
Amirah,BLACK NON HISPANIC,44
Amiya,BLACK NON HISPANIC,20
Amiyah,BLACK NON HISPANIC,72
Amy,ASIAN AND PACIFIC ISLANDER,100
Amy,HISPANIC,310
Amy,WHITE NON HISPANIC,28
Ana,HISPANIC,120
Ana,WHITE NON HISPANIC,48
Anabel,HISPANIC,22
Anabella,HISPANIC,48
Anabelle,HISPANIC,20
Analia,HISPANIC,24
Ananya,ASIAN AND PACIFIC ISLANDER,20
Anastasia,WHITE NON HISPANIC,118
Anaya,ASIAN AND PACIFIC ISLANDER,96
Anaya,BLACK NON HISPANIC,38
Anaya,HISPANIC,46
Anayah,ASIAN AND PACIFIC ISLANDER,20
Anderson,ASIAN AND PACIFIC ISLANDER,24
Anderson,HISPANIC,106
Andre,BLACK NON HISPANIC,56
Andre,HISPANIC,26
Andrea,HISPANIC,178
Andres,HISPANIC,118
Andrew,ASIAN AND PACIFIC ISLANDER,214
Andrew,BLACK NON HISPANIC,128
Andrew,HISPANIC,332
Andrew,WHITE NON HISPANIC,422
Andy,ASIAN AND PACIFIC ISLANDER,156
Andy,HISPANIC,128
Angel,ASIAN AND PACIFIC ISLANDER,68
Angel,BLACK NON HISPANIC,46
Angel,HISPANIC,824
Angela,ASIAN AND PACIFIC ISLANDER,266
Angela,HISPANIC,76
Angelica,HISPANIC,94
Angelica,WHITE NON HISPANIC,24
Angelina,ASIAN AND PACIFIC ISLANDER,132
Angelina,BLACK NON HISPANIC,52
Angelina,HISPANIC,178
Angelina,WHITE NON HISPANIC,178
Angeline,HISPANIC,24
Angelique,HISPANIC,64
Angelo,HISPANIC,40
Angelo,WHITE NON HISPANIC,64
Angie,HISPANIC,82
Anika,ASIAN AND PACIFIC ISLANDER,26
Anisa,WHITE NON HISPANIC,54
Aniya,BLACK NON HISPANIC,52
Aniyah,BLACK NON HISPANIC,90
Anna,ASIAN AND PACIFIC ISLANDER,152
Anna,HISPANIC,28
Anna,WHITE NON HISPANIC,386
Annabel,WHITE NON HISPANIC,30
Annabella,HISPANIC,66
Annabelle,ASIAN AND PACIFIC ISLANDER,46
Annabelle,BLACK NON HISPANIC,28
Annabelle,HISPANIC,52
Annabelle,WHITE NON HISPANIC,106
Annalise,HISPANIC,24
Anne,ASIAN AND PACIFIC ISLANDER,28
Anne,WHITE NON HISPANIC,42
Annie,ASIAN AND PACIFIC ISLANDER,96
Annika,ASIAN AND PACIFIC ISLANDER,20
Anson,ASIAN AND PACIFIC ISLANDER,90
Anthony,ASIAN AND PACIFIC ISLANDER,134
Anthony,BLACK NON HISPANIC,170
Anthony,HISPANIC,674
Anthony,WHITE NON HISPANIC,468
Anton,WHITE NON HISPANIC,44
Antonia,WHITE NON HISPANIC,56
Antonio,BLACK NON HISPANIC,48
Antonio,HISPANIC,130
Antonio,WHITE NON HISPANIC,100
Anya,ASIAN AND PACIFIC ISLANDER,50
April,HISPANIC,48
Arabella,HISPANIC,32
Archer,WHITE NON HISPANIC,50
Arely,HISPANIC,22
Arham,ASIAN AND PACIFIC ISLANDER,24
Ari,WHITE NON HISPANIC,146
Aria,ASIAN AND PACIFIC ISLANDER,102
Aria,BLACK NON HISPANIC,66
Aria,HISPANIC,100
Aria,WHITE NON HISPANIC,160
Arian,HISPANIC,22
Ariana,ASIAN AND PACIFIC ISLANDER,114
Ariana,BLACK NON HISPANIC,94
Ariana,HISPANIC,348
Ariana,WHITE NON HISPANIC,150
Arianna,ASIAN AND PACIFIC ISLANDER,58
Arianna,BLACK NON HISPANIC,170
Arianna,HISPANIC,322
Arianna,WHITE NON HISPANIC,128
Arianny,HISPANIC,30
Ariel,ASIAN AND PACIFIC ISLANDER,66
Ariel,BLACK NON HISPANIC,180
Ariel,HISPANIC,134
Ariel,WHITE NON HISPANIC,104
Ariella,HISPANIC,52
Ariella,WHITE NON HISPANIC,134
Arielle,BLACK NON HISPANIC,84
Arielle,HISPANIC,48
Arisha,ASIAN AND PACIFIC ISLANDER,20
Arjun,ASIAN AND PACIFIC ISLANDER,80
Arlo,WHITE NON HISPANIC,32
Armaan,ASIAN AND PACIFIC ISLANDER,26
Armani,HISPANIC,62
Aron,WHITE NON HISPANIC,280
Arthur,WHITE NON HISPANIC,116
Arvin,ASIAN AND PACIFIC ISLANDER,22
Arya,ASIAN AND PACIFIC ISLANDER,108
Arya,HISPANIC,26
Aryan,ASIAN AND PACIFIC ISLANDER,84
Arye,WHITE NON HISPANIC,24
Aryeh,WHITE NON HISPANIC,94
Asher,ASIAN AND PACIFIC ISLANDER,50
Asher,BLACK NON HISPANIC,26
Asher,WHITE NON HISPANIC,246
Ashley,ASIAN AND PACIFIC ISLANDER,160
Ashley,BLACK NON HISPANIC,66
Ashley,HISPANIC,542
Ashley,WHITE NON HISPANIC,54
Ashton,BLACK NON HISPANIC,106
Ashton,HISPANIC,50
Ashton,WHITE NON HISPANIC,24
Asia,BLACK NON HISPANIC,24
Atara,WHITE NON HISPANIC,26
Athena,ASIAN AND PACIFIC ISLANDER,44
Athena,HISPANIC,80
Athena,WHITE NON HISPANIC,42
Aubree,BLACK NON HISPANIC,24
Aubree,HISPANIC,62
Aubrey,BLACK NON HISPANIC,92
Aubrey,HISPANIC,156
Aubrey,WHITE NON HISPANIC,28
Audrey,ASIAN AND PACIFIC ISLANDER,124
Audrey,HISPANIC,80
Audrey,WHITE NON HISPANIC,136
August,WHITE NON HISPANIC,110
Aurora,HISPANIC,42
Aurora,WHITE NON HISPANIC,58
Austin,ASIAN AND PACIFIC ISLANDER,232
Austin,BLACK NON HISPANIC,100
Austin,HISPANIC,154
Austin,WHITE NON HISPANIC,138
Autumn,BLACK NON HISPANIC,124
Autumn,HISPANIC,50
Ava,ASIAN AND PACIFIC ISLANDER,164
Ava,BLACK NON HISPANIC,296
Ava,HISPANIC,294
Ava,WHITE NON HISPANIC,592
Avery,ASIAN AND PACIFIC ISLANDER,94
Avery,BLACK NON HISPANIC,158
Avery,HISPANIC,170
Avery,WHITE NON HISPANIC,276
Avi,WHITE NON HISPANIC,44
Avigail,WHITE NON HISPANIC,44
Avital,WHITE NON HISPANIC,20
Aviva,WHITE NON HISPANIC,52
Avraham,WHITE NON HISPANIC,206
Avrohom,WHITE NON HISPANIC,116
Avrum,WHITE NON HISPANIC,58
Axel,HISPANIC,214
Axel,WHITE NON HISPANIC,44
Aya,WHITE NON HISPANIC,28
Ayaan,ASIAN AND PACIFIC ISLANDER,200
Ayala,WHITE NON HISPANIC,20
Ayan,ASIAN AND PACIFIC ISLANDER,82
Ayden,ASIAN AND PACIFIC ISLANDER,62
Ayden,BLACK NON HISPANIC,216
Ayden,HISPANIC,328
Ayden,WHITE NON HISPANIC,24
Aydin,WHITE NON HISPANIC,22
Ayesha,ASIAN AND PACIFIC ISLANDER,96
Ayla,WHITE NON HISPANIC,36
Ayleen,HISPANIC,56
Aylin,HISPANIC,148
Azaan,ASIAN AND PACIFIC ISLANDER,20
Azaria,BLACK NON HISPANIC,20
Aziza,WHITE NON HISPANIC,22
BAILA,WHITE NON HISP,90
BARUCH,WHITE NON HISP,36
BATSHEVA,WHITE NON HISP,114
BEATRICE,WHITE NON HISP,58
BECKETT,WHITE NON HISP,22
BELLA,ASIAN AND PACI,38
BELLA,BLACK NON HISP,28
BELLA,HISPANIC,92
BELLA,WHITE NON HISP,44
BEN,WHITE NON HISP,36
BENJAMIN,ASIAN AND PACI,92
BENJAMIN,BLACK NON HISP,48
BENJAMIN,HISPANIC,124
BENJAMIN,WHITE NON HISP,436
BENNETT,WHITE NON HISP,20
BENSON,ASIAN AND PACI,30
BENTZION,WHITE NON HISP,24
BENZION,WHITE NON HISP,26
BIANCA,HISPANIC,44
BIANCA,WHITE NON HISP,20
BINTOU,BLACK NON HISP,22
BINYOMIN,WHITE NON HISP,22
BLAKE,BLACK NON HISP,48
BLAKE,HISPANIC,24
BLAKE,WHITE NON HISP,48
BLIMA,WHITE NON HISP,74
BLIMY,WHITE NON HISP,42
BONNIE,ASIAN AND PACI,24
BORUCH,WHITE NON HISP,22
BOUBACAR,BLACK NON HISP,20
BRACHA,WHITE NON HISP,66
BRADLEY,BLACK NON HISP,20
BRADLEY,HISPANIC,32
BRADLEY,WHITE NON HISP,24
BRADY,WHITE NON HISP,44
BRANDON,ASIAN AND PACI,76
BRANDON,BLACK NON HISP,100
BRANDON,HISPANIC,306
BRANDON,WHITE NON HISP,90
BRAYAN,HISPANIC,46
BRAYDEN,ASIAN AND PACI,30
BRAYDEN,HISPANIC,30
BRAYDEN,WHITE NON HISP,44
BREINDY,WHITE NON HISP,24
BRENDA,HISPANIC,24
BRENDAN,WHITE NON HISP,48
BRIAN,ASIAN AND PACI,82
BRIAN,BLACK NON HISP,24
BRIAN,HISPANIC,76
BRIAN,WHITE NON HISP,40
BRIANA,HISPANIC,68
BRIANNA,ASIAN AND PACI,20
BRIANNA,BLACK NON HISP,64
BRIANNA,HISPANIC,210
BRIANNA,WHITE NON HISP,48
BRIELLE,BLACK NON HISP,84
BRIELLE,HISPANIC,34
BRITNEY,HISPANIC,30
BRITTANY,HISPANIC,42
BRODY,WHITE NON HISP,30
BROOKE,WHITE NON HISP,52
BRUCE,ASIAN AND PACI,20
